"d222488","Tracy Reith","2019-04-19 12:39:33 -0700","fubared project"
"bd4d09b","Tracy Reith","2019-04-19 11:30:23 -0700","Add Switch to correctly hide 404 component"
"5b077cf","Tracy Reith","2019-04-19 11:21:22 -0700","Loop through data set and display on page"
"13d94f6","Tracy Reith","2019-04-19 10:24:33 -0700","Fix Auth link"
"c5034ca","Tracy Reith","2019-04-19 10:22:46 -0700","Add basic routing among components"
"35ca9f3","Tracy Reith","2019-04-19 10:17:28 -0700","Add 404 component"
"4c1bd7e","Tracy Reith","2019-04-19 10:06:31 -0700","Include references to all components on App page for real this time"
"69217ac","Tracy Reith","2019-04-19 10:03:34 -0700","Fix paths to correctly display components"
"190470a","Tracy Reith","2019-04-19 10:00:46 -0700","Add all components to project"
"9ff6100","Tracy Reith","2019-04-19 09:20:50 -0700","Ignore supporting files such as diagrams, graphs, original artwork"
"fe7e660","Tracy Reith","2019-04-19 08:39:55 -0700","Set up project with npx react-create-app, create README"
"1fa2648","Tracy Reith","2019-04-19 08:05:33 -0700","Initial commit from Create React App"
